Time,C6_avg,psi6,V,S-2,S-1,S0
294.9999,5.54667,0.99517,4.0,2.0,2.0,2.0
299.9999,5.54667,0.99115,4.0,2.0,2.0,2.0
304.9999,5.53333,0.9856,4.0,2.0,2.0,2.0
309.9999,5.54667,0.99547,4.0,2.0,2.0,2.0
314.9999,5.54667,0.99329,4.0,2.0,2.0,2.0
319.9999,5.54667,0.99505,4.0,2.0,2.0,2.0
324.9999,5.54,0.99303,4.0,2.0,2.0,2.0
329.9999,5.526669999999998,0.9858,4.0,2.0,2.0,2.0
334.9999,5.526669999999998,0.98748,4.0,2.0,2.0,2.0
339.9999,5.526669999999998,0.98577,4.0,2.0,2.0,2.0
344.9999,5.54,0.99618,4.0,2.0,2.0,2.0
349.9999,5.54,0.99536,4.0,2.0,2.0,2.0
354.9999,5.54,0.99593,4.0,2.0,2.0,2.0
359.9999,5.54,0.99513,4.0,2.0,2.0,2.0
364.9999,5.54,0.99438,4.0,2.0,2.0,2.0
